phrase,n,freq_books,rank,mi,lemma_key,spoken_words,auto_keep,auto_reason,keep,notes
nous ne pouvons pas,4,198348,8272,19.51,nous ne pouvoir pas,yes,yes,,,
l' un d' entre,4,198324,8273,10.78,le un de entrer,yes,yes,,,
que je ne suis pas,5,198053,8274,21.35,que je ne être pas,yes,yes,,,
il y en avait,4,197939,8275,12.55,il y en avoir,yes,yes,,,
le cadre de l',4,197495,8276,11.06,le cadre de le,yes,no,fragment,,
il ne voulait pas,4,197397,8277,16.16,il ne vouloir pas,yes,yes,,,
au bout d' une,4,197300,8278,15.36,au bout de un,yes,no,fragment,,
au bout de la,4,197220,8279,12.03,au bout de le,yes,no,fragment,,
l' idée d' une,4,197150,8280,13.15,le idée de un,yes,no,fragment,,
l' origine de la,4,196502,8281,10.73,le origine de le,yes,no,fragment,,
l' évolution de la,4,196484,8282,11.36,le évolution de le,yes,no,fragment,,
la place de la,4,194889,8283,8.43,le place de le,yes,no,fragment,,
il en est de,4,194430,8284,6.26,il en être de,yes,no,fragment,,
est tout à fait,4,194351,8285,12.68,être tout à faire,yes,yes,,,
et d' autre part,4,193637,8286,15.37,et de autre part,yes,no,fragment,,
l ' une des,4,193315,8287,,l ' un un,no,no,fragment; rare word,,
de l' autre côté du,5,193312,8288,20.7,de le autre côté du,yes,no,fragment,,
elle se mit à,4,193274,8289,16.38,lui se mettre à,yes,no,fragment,,
la première fois depuis,4,192828,8290,19.78,le première fois depuis,yes,yes,,,
il y a bien,4,192633,8291,14.27,il y avoir bien,yes,yes,,,
avec un peu de,4,192457,8292,11.5,avec un peu de,yes,no,fragment,,
afin de ne pas,4,192043,8293,13.6,afin de ne pas,yes,yes,,,
à ce que je,4,191997,8294,9.59,à ce que je,yes,yes,,,
où l ' on,4,191724,8295,,où l ' on,no,no,rare word,,
d' un seul coup,4,191715,8296,18.29,de un seul coup,yes,yes,,,
en dehors de la,4,191672,8297,11.6,en dehors de le,yes,no,fragment,,
je ne me suis,4,190980,8298,16.44,je ne me être,yes,yes,,,
à côté de moi,4,190876,8299,13.8,à côté de moi,yes,yes,,,
